pobreza,pobreza_e,pobreza_m,vul_car,vul_ing,npnv,ic_rezedu,ic_asalud,ic_segsoc,ic_cv,ic_sbv,ic_ali,carencias,carencias3,plb,plb_m,rankin_p,rankin_pe,N_pobreza,N_pobreza_e,N_pobreza_m,N_vul_car,N_vul_ing,N_npnv,N_ic_rezedu,N_ic_asalud,N_ic_segsoc,N_ic_cv,N_ic_sbv,N_ic_ali,N_carencias,N_carencias3,N_plb,N_plb_m,perrankin_p,perrankin_pe,cppobreza,cppobreza_e,cppobreza_m,cpvul_car,cpic_rezedu,cpic_asalud,cpic_segsoc,cpic_cv,cpic_sbv,cpic_ali,cpcarencias,cpcarencias3,cpplb,cpplbm,pobtot_05,porc_pob_15_analfa05,porc_pob614_noasiste05,porc_pob15_basicainc05,porc_pob_snservsal05,porc_vivpisotierra05,porc_vivsnsan05,porc_snaguaent05,porc_vivsndren05,porc_vivsnenergia05,porc_vivsnlavadora05,porc_vivsnrefri05,irez_soc05,l_ocupnac05,p_rez_edu_00,p_ser_sal_00,p_viv_pisos_00,p_viv_muros_00,p_viv_techos_00,p_viv_hacin_00,p_viv_agu_entub_00,p_viv_dren_00,p_viv_elect_00,pobreza_alim_00,pobreza_cap_00,pobreza_patrim_00,gdo_rezsoc05
53.81362653,10.18831144,43.62531602,23.89681339,7.222233713,15.06732702,21.30869584,18.80066826,59.71074214,20.81517458,19.34490183,28.00760273,77.71043931,21.9717966,61.03585992,24.40536907,1904,1749,9653,1828,7826,4287,1296,2703,3822,3372,10711,3734,3470,5024,13940,3941,10949,4378,1119,1291,2.307489872,4.073679447,1.893931508,1.837373495,2.823245287,2.962833643,2.334398985,3.20435977,3.755797863,3.299489498,2.161714554,3.904552698,2.035347462,2.471235275,11839,3.651684999,2.676950932,44.25394058,36.97103119,15.28454971,5.008130074,9.300812721,12.78048992,12.19511986,31.25202942,19.28454971,-1.089071989,2116,19,43.6,19,8.4,7.3,15,10.6,25.7,5.4,7.2,10.5,22.1,Muy bajo
60.54584052,19.25888883,41.2869513,19.44391578,3.012562543,16.99768156,25.20240896,24.10357621,69.4675803,28.79315113,47.16810208,32.1634673,79.98975671,41.69598553,63.55840312,29.52875207,1641,1230,32628,10378,22249,10478,1623,9160,13581,12989,37435,15516,25418,17333,43106,22470,34251,15913,369,325,3.044996262,4.124302387,2.525265932,2.162706852,3.592718124,3.72121954,3.011881828,4.210632324,3.60192585,4.246906757,2.836591721,4.019700527,2.903589964,3.22880435,49850,16.82855988,3.844070911,52.10913086,42.88866043,13.43675995,28.85139084,12.95590973,42.21556854,5.352931023,50.09980011,50.66231155,-0.217540503,1317,31,73.3,19.7,22,7.1,45.3,13.4,57.9,4.6,45.6,52.5,67.9,Bajo
35.24851027,5.646547061,29.60196435,26.05541348,7.15104118,31.54503405,18.81410232,19.59932425,43.13982643,12.84997062,12.57025644,26.9929565,61.30392299,20.95672949,42.39955116,11.12692568,2288,2113,93032,14903,78129,68769,18874,83257,49656,51729,113860,33915,33177,71243,161801,55312,111906,29368,95,198,2.401845217,3.721297741,2.150706291,1.893387914,2.667012691,2.914520741,2.512774467,3.310833931,3.418019295,3.004778862,2.185283184,3.624928951,1.999915957,2.56142211,238850,6.243370056,2.719310999,39.24689102,28.38392067,2.894133091,7.363676071,3.798950911,6.306450844,3.94173193,25.61564064,15.19099045,-1.381662965,2310,19.1,41.3,4.8,4.4,13.2,20.1,6.9,17.7,2.9,18.1,26.1,51.5,Muy bajo
41.08082972,8.375502848,32.70532787,31.39893115,3.900226578,23.6200124,22.20612727,16.79051825,53.73382327,21.85287891,35.5292647,31.01230638,72.47975996,33.31181669,44.98105625,12.56787706,2188,1889,93849,19134,74715,71731,8910,53960,50730,38358,122754,49923,81166,70847,165579,76101,102759,28711,93,130,2.795960665,3.8718431,2.521098375,2.112518787,3.236978531,3.434006691,2.849723577,3.493780851,3.119162798,3.541643381,2.498972416,3.742911339,2.557536125,3.063694954,199988,6.660473824,5.807937145,44.30356979,37.84777069,7.717549801,7.106709003,22.08319092,5.716997147,5.968053818,26.65559959,18.32522964,-0.94169718,1984,22.3,54.8,12.1,14.3,11.5,32.2,26.6,24.8,5.5,26.9,36,61.1,Muy bajo
63.20129359,13.40868449,49.79260862,24.85591024,3.774350509,8.168445528,27.19674211,23.55836637,70.32685311,22.32668692,38.29254715,30.5526169,88.05720367,36.35196163,66.97564424,25.56813364,1517,1520,48654,10322,38332,19135,2906,6288,20937,18136,54140,17188,29479,23520,67789,27985,51560,19683,219,327,2.542874336,3.883410692,2.181265116,2.070141077,3.152090549,3.323940754,2.631652117,3.725636482,3.078983784,3.622061253,2.410408258,3.72287178,2.400691509,2.741728067,76116,14.12016964,5.98458004,60.68664932,48.63497925,9.062996864,14.92955017,16.66757965,31.71227074,6.129722118,39.52518845,34.67295074,-0.376706898,1462,33.1,70.2,13,6.2,20,33.9,20,52.9,7.6,48.9,58,78.1,Bajo
56.56021094,14.82330525,41.73690677,29.73718345,3.033832647,10.6687732,24.15004882,31.0909267,62.46988852,28.34979326,58.42710755,33.45025697,86.29739354,47.23571269,59.59404352,23.55922427,1809,1434,17488,4583,12905,9195,938,3299,7467,9613,19316,8766,18066,10343,26683,14605,18426,7285,703,755,2.880019903,3.822117329,2.546538353,2.5021348,3.434397459,3.520091295,3.12978673,3.892971516,3.100842237,3.865460157,2.757186651,3.773999929,2.734466791,2.966672182,26973,14.66444969,5.288082123,52.00476074,47.78482056,6.793023109,28.32942009,13.14995003,49.58068085,8.067762375,50.31867981,51.0231514,-0.152028993,1274,28.9,72,14,27.1,7.3,42.1,22.4,67.6,7.8,49.9,56.7,71.2,Bajo
75.63327048,31.23595675,44.3973124,19.39792931,1.120382361,3.848417848,31.92151301,26.59903956,84.55633817,23.95396528,78.14555743,36.52396481,95.03120037,59.8032913,76.75365281,43.97966785,981,799,35570,14690,20880,9123,527,1810,15013,12510,39767,11266,36752,17177,44693,28125,36097,20684,336,201,3.058576107,3.759997606,2.56302762,2.575635195,3.678988218,3.766467571,3.090584993,4.045322895,3.215515852,3.952790022,2.96429348,3.70330596,3.014251232,3.180409431,34687,15.8473196,9.561959267,63.60300827,48.04970169,9.517766953,39.32600021,13.31077003,52.25606155,10.65989971,46.03778839,53.66609955,0.174929798,999,33.1,85.1,14.6,23.8,19.5,39,18.4,74.9,14.4,70.7,76.8,87.7,Medio
62.69811914,17.76950511,44.92861331,29.08899188,1.98989287,6.222996116,32.27275354,15.55848767,83.42019909,27.54645069,50.92557294,37.64661219,91.78711121,46.67849521,64.68801199,26.36045276,1543,1299,5938,1683,4255,2755,188,589,3056,1473,7900,2609,4823,3565,8692,4420,6126,2496,1414,1330,2.886863232,3.986995697,2.452997684,2.270177603,3.597781181,3.886646986,2.815679312,4.005650043,3.525180817,3.956148148,2.695041418,3.877348423,2.798460007,3.182946444,8290,12.20981979,5.860805988,60.67176056,34.64414978,15.78435993,6.216609955,36.4740181,10.44196033,8.207867622,43.41913986,31.08304977,-0.415314704,1496,34.8,80.5,29.2,17.2,4.2,30.8,46.4,57.9,8.7,55.9,62.6,76.9,Bajo
64.13201158,19.36833361,44.76367831,28.0300945,1.816718653,6.021175161,27.69155428,15.27036205,68.26507362,31.26455089,75.74614393,30.85844715,92.16210632,49.34263156,65.94873024,27.89943435,1474,1228,6865,2073,4792,3000,194,645,2964,1635,7307,3347,8108,3303,9865,5282,7059,2986,1332,1227,2.914656878,3.79201746,2.534929037,2.216307163,3.434040308,3.469176292,3.036420822,3.799749136,2.936146021,3.865264416,2.702804327,3.689205647,2.835861683,3.141155481,9050,14.66958046,5.056890011,56.02714157,35.62430954,4.75227499,47.11830139,12.28514004,60.06066895,7.532862186,41.86046982,43.02325058,-0.078076102,1213,32.6,78.3,11.8,29.6,3.7,50.3,11.7,80,7.8,44.5,52.8,71.4,Bajo
73.01295219,28.35167577,44.66127753,17.50589311,2.436584048,7.044570893,32.30771395,20.77968815,81.03718896,37.40167771,51.59797022,37.21724342,90.51884602,51.14317732,75.44953616,40.62258715,1102,901,34104,13243,20861,8177,1138,3291,15091,9706,37852,17470,24101,17384,42281,23889,35242,18975,351,241,3.016787291,3.989584684,2.394958019,2.241933584,3.593150854,3.547207117,2.995327711,3.915530443,3.634761572,4.115526676,2.876102448,3.893125534,2.920025349,3.259284973,50106,14.66359043,5.89892292,61.56034851,47.16799927,11.26502991,10.83813,6.063774109,24.95207977,7.614566803,45.04269028,33.59469986,-0.347528607,1433,31.9,80,26,2,35.3,43.8,12.5,55.7,13.9,57.6,67.4,86.6,Bajo
